cell_name	gene_name	tissue_type	gene_id
Schwalie et al.Nature.G2	Adam23	Adipose tissue	ENSMUSG00000025964
Schwalie et al.Nature.G1	Mfap5	Adipose tissue	ENSMUSG00000030116
Schwalie et al.Nature.G3	Cryab	Adipose tissue	ENSMUSG00000032060
Schwalie et al.Nature.G3	Cyp2f2	Adipose tissue	ENSMUSG00000052974
Schwalie et al.Nature.G2	Scg3	Adipose tissue	ENSMUSG00000032181
Schwalie et al.Nature.G4	Rps26	Adipose tissue	ENSMUSG00000025362
Schwalie et al.Nature.G2	Col1a1	Adipose tissue	ENSMUSG00000001506
Schwalie et al.Nature.P2	Arid5a	Adipose tissue	ENSMUSG00000037447
Schwalie et al.Nature.P3	Usp22	Adipose tissue	ENSMUSG00000042506
Schwalie et al.Nature.P1	Dpt	Adipose tissue	ENSMUSG00000026574
Schwalie et al.Nature.G1	Tle5	Adipose tissue	ENSMUSG00000054452
Schwalie et al.Nature.P2	Sema5a	Adipose tissue	ENSMUSG00000022231
Schwalie et al.Nature.G2	Sat1	Adipose tissue	ENSMUSG00000025283
Schwalie et al.Nature.G2	Ptms	Adipose tissue	ENSMUSG00000030122
Schwalie et al.Nature.P2	Sat1	Adipose tissue	ENSMUSG00000025283
Schwalie et al.Nature.G4	Vegfd	Adipose tissue	ENSMUSG00000031380
Schwalie et al.Nature.G2	Rrbp1	Adipose tissue	ENSMUSG00000027422
Schwalie et al.Nature.P1	Krt19	Adipose tissue	ENSMUSG00000020911
Schwalie et al.Nature.P2	Slc9a3r2	Adipose tissue	ENSMUSG00000002504
Schwalie et al.Nature.P3	Cxcl12	Adipose tissue	ENSMUSG00000061353
Schwalie et al.Nature.P1	Loxl1	Adipose tissue	ENSMUSG00000032334
Schwalie et al.Nature.G1	Marcks	Adipose tissue	ENSMUSG00000069662
Schwalie et al.Nature.G3	Epha3	Adipose tissue	ENSMUSG00000052504
Schwalie et al.Nature.G3	Podn	Adipose tissue	ENSMUSG00000028600
Schwalie et al.Nature.P1	Anxa3	Adipose tissue	ENSMUSG00000029484
Schwalie et al.Nature.G3	Cebpb	Adipose tissue	ENSMUSG00000056501
Schwalie et al.Nature.G2	Tmem119	Adipose tissue	ENSMUSG00000054675
Schwalie et al.Nature.G3	Ecm2	Adipose tissue	ENSMUSG00000043631
Schwalie et al.Nature.G3	Pros1	Adipose tissue	ENSMUSG00000022912
Schwalie et al.Nature.G1	Ddr2	Adipose tissue	ENSMUSG00000026674
Schwalie et al.Nature.P3	Bace1	Adipose tissue	ENSMUSG00000032086
Schwalie et al.Nature.P2	Atp6v1b2	Adipose tissue	ENSMUSG00000006273
Schwalie et al.Nature.P1	Klf3	Adipose tissue	ENSMUSG00000029178
Schwalie et al.Nature.P3	Epha3	Adipose tissue	ENSMUSG00000052504
Schwalie et al.Nature.G3	S100a4	Adipose tissue	ENSMUSG00000001020
Schwalie et al.Nature.G4	Adgrd1	Adipose tissue	ENSMUSG00000044017
Schwalie et al.Nature.P3	Vps53	Adipose tissue	ENSMUSG00000017288
Schwalie et al.Nature.G1	Itm2b	Adipose tissue	ENSMUSG00000022108
Schwalie et al.Nature.P2	Igbp1	Adipose tissue	ENSMUSG00000031221
Schwalie et al.Nature.G2	Sh3bgrl3	Adipose tissue	ENSMUSG00000028843
Schwalie et al.Nature.P2	Pear1	Adipose tissue	ENSMUSG00000028073
Schwalie et al.Nature.G1	Arhgef28	Adipose tissue	ENSMUSG00000021662
Schwalie et al.Nature.P3	G0s2	Adipose tissue	ENSMUSG00000009633
Schwalie et al.Nature.G4	Adamtsl1	Adipose tissue	ENSMUSG00000066113
Schwalie et al.Nature.P2	Thbs1	Adipose tissue	ENSMUSG00000040152
Schwalie et al.Nature.G1	Adam33	Adipose tissue	ENSMUSG00000027318
Schwalie et al.Nature.G2	Lrrc15	Adipose tissue	ENSMUSG00000052316
Schwalie et al.Nature.G4	Gja1	Adipose tissue	ENSMUSG00000050953
Schwalie et al.Nature.G2	Myo1b	Adipose tissue	ENSMUSG00000018417
Schwalie et al.Nature.G4	Slco3a1	Adipose tissue	ENSMUSG00000025790
Schwalie et al.Nature.G3	Gbp7	Adipose tissue	ENSMUSG00000040253
Schwalie et al.Nature.P1	Rps7	Adipose tissue	ENSMUSG00000061477
Schwalie et al.Nature.P3	Aox1	Adipose tissue	ENSMUSG00000063558
Schwalie et al.Nature.G3	Dusp1	Adipose tissue	ENSMUSG00000024190
Schwalie et al.Nature.P2	Azin1	Adipose tissue	ENSMUSG00000037458
