cell_name	gene_name	tissue_type	gene_id
Endothelial cell	SEMA3G	Fetal kidney	ENSG00000010319
Natural killer T (NKT) cell	FBXO4	Fetal kidney	ENSG00000151876
Natural killer T (NKT) cell	IFI6	Fetal kidney	ENSG00000126709
Natural killer T (NKT) cell	FBXO3	Fetal kidney	ENSG00000110429
Natural killer T (NKT) cell	ARHGEF3	Fetal kidney	ENSG00000163947
B cell	FBXO3	Kidney	ENSG00000110429
Natural killer T (NKT) cell	KDM2A	Fetal kidney	ENSG00000173120
Natural killer T (NKT) cell	AAGAB	Fetal kidney	ENSG00000103591
Natural killer T (NKT) cell	EIF3A	Fetal kidney	ENSG00000107581
B cell	SLC37A4	Kidney	ENSG00000281500
B cell	SLC37A4	Kidney	ENSG00000137700
Natural killer T (NKT) cell	ARFGAP3	Fetal kidney	ENSG00000242247
Monocyte	GAA	Fetal kidney	ENSG00000171298
Natural killer T (NKT) cell	SLC25A10	Fetal kidney	ENSG00000183048
B cell	IGLC2	Kidney	ENSG00000211677
Natural killer T (NKT) cell	CYP2R1	Fetal kidney	ENSG00000186104
B cell	POU2AF1	Kidney	ENSG00000110777
B cell	IGLC3	Kidney	ENSG00000211679
B cell	POU2AF1	Kidney	ENSG00000110777
Monocyte	TPM3	Fetal kidney	ENSG00000143549
Natural killer T (NKT) cell	EIF3J	Fetal kidney	ENSG00000104131
B cell	TEFM	Kidney	ENSG00000172171
Natural killer T (NKT) cell	SSBP4	Fetal kidney	ENSG00000130511
Natural killer T (NKT) cell	TPM4	Fetal kidney	ENSG00000167460
B cell	SGO1	Kidney	ENSG00000129810
Natural killer T (NKT) cell	TMEM179B	Fetal kidney	ENSG00000185475
Natural killer T (NKT) cell	DCTN2	Fetal kidney	ENSG00000175203
Natural killer T (NKT) cell	LAMTOR5	Fetal kidney	ENSG00000134248
Natural killer T (NKT) cell	WDFY1	Fetal kidney	ENSG00000085449
Natural killer T (NKT) cell	TPP2	Fetal kidney	ENSG00000134900
Natural killer T (NKT) cell	CRYZL1	Fetal kidney	ENSG00000205758
Natural killer T (NKT) cell	USP36	Fetal kidney	ENSG00000055483
Natural killer T (NKT) cell	SAMM50	Fetal kidney	ENSG00000100347
Natural killer T (NKT) cell	GOLPH3	Fetal kidney	ENSG00000113384
Nephron epithelial cell	AQP2	Kidney	ENSG00000167580
Natural killer T (NKT) cell	CAPN15	Fetal kidney	ENSG00000282214
Natural killer T (NKT) cell	CAPN15	Fetal kidney	ENSG00000103326
Natural killer T (NKT) cell	CLK1	Fetal kidney	ENSG00000013441
Natural killer T (NKT) cell	SNIP1	Fetal kidney	ENSG00000163877
Natural killer T (NKT) cell	RBM34	Fetal kidney	ENSG00000188739
Monocyte	STX11	Fetal kidney	ENSG00000135604
Monocyte	FGD4	Fetal kidney	ENSG00000139132
Natural killer T (NKT) cell	STIM2	Fetal kidney	ENSG00000109689
Natural killer T (NKT) cell	NCOR1	Fetal kidney	ENSG00000141027
Natural killer T (NKT) cell	ARL6IP4	Fetal kidney	ENSG00000182196
Megakaryocyte	PPBP	Fetal kidney	ENSG00000163736
Natural killer T (NKT) cell	TAMALIN	Fetal kidney	ENSG00000161835
Monocyte	MCTP1	Fetal kidney	ENSG00000175471
Natural killer T (NKT) cell	GALNT3	Fetal kidney	ENSG00000115339
Natural killer T (NKT) cell	PGM2	Fetal kidney	ENSG00000169299
Natural killer cell	XCL1	Kidney	ENSG00000143184
Natural killer T (NKT) cell	TIMM10	Fetal kidney	ENSG00000134809
Natural killer T (NKT) cell	RABAC1	Fetal kidney	ENSG00000105404
Natural killer T (NKT) cell	XCL1	Fetal kidney	ENSG00000143184
Natural killer T (NKT) cell	PDS5B	Fetal kidney	ENSG00000083642
B cell	YPEL3	Kidney	ENSG00000090238
Natural killer T (NKT) cell	PPIA	Fetal kidney	ENSG00000196262
Plasma cell	SDC1	Kidney	ENSG00000115884
Natural killer T (NKT) cell	BRAF	Fetal kidney	ENSG00000157764
Natural killer T (NKT) cell	AREG	Fetal kidney	ENSG00000109321
Natural killer T (NKT) cell	OSTF1	Fetal kidney	ENSG00000134996
B cell	IL2RA	Kidney	ENSG00000134460
Natural killer T (NKT) cell	PFDN5	Fetal kidney	ENSG00000123349
Natural killer T (NKT) cell	PDIA3	Fetal kidney	ENSG00000167004
Natural killer T (NKT) cell	SMG1	Fetal kidney	ENSG00000157106
Natural killer T (NKT) cell	PPM1B	Fetal kidney	ENSG00000138032
Natural killer T (NKT) cell	CDC40	Fetal kidney	ENSG00000168438
Monocyte	ABTB1	Fetal kidney	ENSG00000114626
Natural killer T (NKT) cell	ARHGEF10	Fetal kidney	ENSG00000274726
Natural killer T (NKT) cell	ARHGEF10	Fetal kidney	ENSG00000104728
Monocyte	MYO1F	Fetal kidney	ENSG00000142347
Natural killer T (NKT) cell	MYO1F	Fetal kidney	ENSG00000142347
Natural killer T (NKT) cell	NUFIP1	Fetal kidney	ENSG00000083635
Monocyte	CTSD	Fetal kidney	ENSG00000117984
Natural killer T (NKT) cell	EHMT1	Fetal kidney	ENSG00000181090
Natural killer T (NKT) cell	EDF1	Fetal kidney	ENSG00000107223
Natural killer T (NKT) cell	GNLY	Kidney	ENSG00000115523
Natural killer T (NKT) cell	IMMP1L	Fetal kidney	ENSG00000148950
Natural killer T (NKT) cell	TSNAX	Fetal kidney	ENSG00000116918
Monocyte	SLC24A4	Fetal kidney	ENSG00000140090
Natural killer T (NKT) cell	POMP	Fetal kidney	ENSG00000132963
Natural killer T (NKT) cell	SNX3	Fetal kidney	ENSG00000112335
Monocyte	CTSH	Fetal kidney	ENSG00000103811
B cell	CTSH	Kidney	ENSG00000103811
Natural killer T (NKT) cell	TTC1	Fetal kidney	ENSG00000113312
Natural killer T (NKT) cell	PRRC2B	Fetal kidney	ENSG00000288701
Natural killer T (NKT) cell	SEC22A	Fetal kidney	ENSG00000121542
Natural killer T (NKT) cell	C15orf40	Fetal kidney	ENSG00000169609
Natural killer T (NKT) cell	RNF213	Fetal kidney	ENSG00000173821
Natural killer T (NKT) cell	IL7R	Fetal kidney	ENSG00000168685
Natural killer T (NKT) cell	MVD	Fetal kidney	ENSG00000167508
Neutrophil	CXCL8	Kidney	ENSG00000169429
Natural killer T (NKT) cell	AKAP8L	Fetal kidney	ENSG00000011243
Natural killer T (NKT) cell	CRACR2A	Fetal kidney	ENSG00000130038
Natural killer T (NKT) cell	NTAN1	Fetal kidney	ENSG00000275779
Natural killer T (NKT) cell	NTAN1	Fetal kidney	ENSG00000157045
B cell	HRK	Kidney	ENSG00000135116
B cell	GPR160	Kidney	ENSG00000173890
Neutrophil	CXCR1	Kidney	ENSG00000163464
Mast cell	CAVIN2	Kidney	ENSG00000168497
B cell	LARP6	Kidney	ENSG00000166173
Natural killer T (NKT) cell	CYFIP2	Fetal kidney	ENSG00000055163
Natural killer T (NKT) cell	EIF5B	Fetal kidney	ENSG00000158417
Natural killer T (NKT) cell	SAFB2	Fetal kidney	ENSG00000130254
Natural killer T (NKT) cell	ZNF317	Fetal kidney	ENSG00000130803
Natural killer T (NKT) cell	TNFSF12	Fetal kidney	ENSG00000239697
Natural killer T (NKT) cell	ZC3H13	Fetal kidney	ENSG00000123200
Natural killer T (NKT) cell	TNFSF10	Fetal kidney	ENSG00000121858
Monocyte	CUX1	Fetal kidney	ENSG00000257923
Natural killer T (NKT) cell	WDR33	Fetal kidney	ENSG00000136709
Natural killer T (NKT) cell	C19orf48	Fetal kidney	ENSG00000167747
Natural killer T (NKT) cell	AHSA1	Fetal kidney	ENSG00000100591
Natural killer T (NKT) cell	CDS2	Fetal kidney	ENSG00000101290
Natural killer T (NKT) cell	TNFRSF4	Fetal kidney	ENSG00000186827
Natural killer T (NKT) cell	ZC3H18	Fetal kidney	ENSG00000158545
Natural killer T (NKT) cell	ACAD8	Fetal kidney	ENSG00000151498
Monocyte	MCEMP1	Fetal kidney	ENSG00000183019
Monocyte	SIGLEC7	Fetal kidney	ENSG00000168995
Natural killer T (NKT) cell	MYC	Fetal kidney	ENSG00000136997
Natural killer T (NKT) cell	TRAPPC4	Fetal kidney	ENSG00000280495
Natural killer T (NKT) cell	TRAPPC4	Fetal kidney	ENSG00000196655
Natural killer T (NKT) cell	TPTEP1	Fetal kidney	ENSG00000100181
Natural killer T (NKT) cell	TPTEP1	Fetal kidney	ENSG00000290418
Natural killer T (NKT) cell	BUD13	Fetal kidney	ENSG00000137656
Natural killer T (NKT) cell	RABEP2	Fetal kidney	ENSG00000177548
B cell	RABEP2	Kidney	ENSG00000177548
Natural killer T (NKT) cell	SRSF4	Fetal kidney	ENSG00000116350
Monocyte	TXN	Fetal kidney	ENSG00000136810
B cell	ALG14	Kidney	ENSG00000172339
Natural killer T (NKT) cell	BIN2	Fetal kidney	ENSG00000110934
Natural killer T (NKT) cell	PPA2	Fetal kidney	ENSG00000138777
Natural killer T (NKT) cell	TRA2B	Fetal kidney	ENSG00000136527
Natural killer T (NKT) cell	STAU2	Fetal kidney	ENSG00000040341
Natural killer T (NKT) cell	CAAP1	Fetal kidney	ENSG00000120159
Natural killer T (NKT) cell	FAAP20	Fetal kidney	ENSG00000162585
B cell	DAPP1	Kidney	ENSG00000070190
Natural killer T (NKT) cell	SRGN	Fetal kidney	ENSG00000122862
Natural killer T (NKT) cell	EPG5	Fetal kidney	ENSG00000152223
Natural killer T (NKT) cell	CYC1	Fetal kidney	ENSG00000179091
Natural killer T (NKT) cell	LRRC59	Fetal kidney	ENSG00000108829
Natural killer T (NKT) cell	NHLRC3	Fetal kidney	ENSG00000188811
Natural killer T (NKT) cell	PRIM1	Fetal kidney	ENSG00000198056
Natural killer T (NKT) cell	PRIM2	Fetal kidney	ENSG00000146143
Natural killer T (NKT) cell	RGS9	Fetal kidney	ENSG00000108370
Natural killer T (NKT) cell	ZFYVE28	Fetal kidney	ENSG00000159733
Natural killer T (NKT) cell	PRKACB	Fetal kidney	ENSG00000142875
Natural killer T (NKT) cell	C17orf49	Fetal kidney	ENSG00000258315
Natural killer T (NKT) cell	KDM6B	Fetal kidney	ENSG00000132510
Natural killer T (NKT) cell	APOBEC3F	Fetal kidney	ENSG00000128394
Monocyte	C5AR1	Fetal kidney	ENSG00000197405
Natural killer T (NKT) cell	UBE2D2	Fetal kidney	ENSG00000131508
Monocyte	IVNS1ABP	Fetal kidney	ENSG00000116679
Natural killer T (NKT) cell	ODF2	Fetal kidney	ENSG00000136811
B cell	KLHL5	Kidney	ENSG00000109790
Natural killer T (NKT) cell	TMEM63A	Fetal kidney	ENSG00000196187
B cell	SCIMP	Kidney	ENSG00000161929
Natural killer T (NKT) cell	MRPL49	Fetal kidney	ENSG00000149792
Natural killer T (NKT) cell	TTC39C	Fetal kidney	ENSG00000168234
Natural killer T (NKT) cell	PARP10	Fetal kidney	ENSG00000178685
Natural killer T (NKT) cell	TMEM258	Fetal kidney	ENSG00000134825
Natural killer T (NKT) cell	CEP104	Fetal kidney	ENSG00000116198
B cell	GH1	Kidney	ENSG00000259384
Natural killer T (NKT) cell	FMNL1	Fetal kidney	ENSG00000184922
Mast cell	LRRC75A	Kidney	ENSG00000181350
B cell	SHMT2	Kidney	ENSG00000182199
Natural killer T (NKT) cell	ZBTB11	Fetal kidney	ENSG00000066422
Natural killer T (NKT) cell	ETNK1	Fetal kidney	ENSG00000139163
Natural killer T (NKT) cell	UBE3A	Fetal kidney	ENSG00000114062
Natural killer T (NKT) cell	UBE2J1	Fetal kidney	ENSG00000198833
Natural killer T (NKT) cell	C6orf47	Fetal kidney	ENSG00000228177
Natural killer T (NKT) cell	C6orf47	Fetal kidney	ENSG00000226103
Natural killer T (NKT) cell	C6orf47	Fetal kidney	ENSG00000203623
Natural killer T (NKT) cell	C6orf47	Fetal kidney	ENSG00000226531
Natural killer T (NKT) cell	C6orf47	Fetal kidney	ENSG00000235360
Natural killer T (NKT) cell	C6orf47	Fetal kidney	ENSG00000228435
Natural killer T (NKT) cell	C6orf47	Fetal kidney	ENSG00000204439
Monocyte	POSTN	Fetal kidney	ENSG00000133110
Natural killer T (NKT) cell	INPP4A	Fetal kidney	ENSG00000040933
Natural killer T (NKT) cell	UBTF	Fetal kidney	ENSG00000108312
Natural killer T (NKT) cell	DAD1	Fetal kidney	ENSG00000129562
Natural killer T (NKT) cell	ZSWIM9	Fetal kidney	ENSG00000185453
Natural killer T (NKT) cell		Fetal kidney	
Natural killer T (NKT) cell	LBR	Fetal kidney	ENSG00000143815
Cancer cell	CA9	Kidney	ENSG00000107159
Natural killer T (NKT) cell	TRIM24	Fetal kidney	ENSG00000122779
Natural killer T (NKT) cell	RGS14	Fetal kidney	ENSG00000169220
Natural killer T (NKT) cell	SLK	Fetal kidney	ENSG00000065613
Natural killer T (NKT) cell	MAPK3	Fetal kidney	ENSG00000102882
Natural killer T (NKT) cell	GNPTAB	Fetal kidney	ENSG00000111670
Natural killer T (NKT) cell	TRIM65	Fetal kidney	ENSG00000141569
Natural killer T (NKT) cell	ATOH8	Fetal kidney	ENSG00000168874
Monocyte	CD55	Fetal kidney	ENSG00000196352
Monocyte	CTDSP1	Fetal kidney	ENSG00000144579
Natural killer T (NKT) cell	FAM222A	Fetal kidney	ENSG00000139438
Monocyte	BATF3	Fetal kidney	ENSG00000123685
B cell	MRPS2	Kidney	ENSG00000122140
Natural killer T (NKT) cell	STT3B	Fetal kidney	ENSG00000163527
Natural killer T (NKT) cell	PPP1R15B	Fetal kidney	ENSG00000158615
B cell	GPC3	Kidney	ENSG00000147257
Monocyte	LIN7A	Fetal kidney	ENSG00000111052
Natural killer T (NKT) cell	HNRNPM	Fetal kidney	ENSG00000099783
B cell	INTU	Kidney	ENSG00000164066
Natural killer T (NKT) cell	NELFCD	Fetal kidney	ENSG00000101158
Natural killer T (NKT) cell	UGP2	Fetal kidney	ENSG00000169764
Natural killer T (NKT) cell	DIP2A	Fetal kidney	ENSG00000160305
B cell	DAXX	Kidney	ENSG00000231617
B cell	DAXX	Kidney	ENSG00000229396
B cell	DAXX	Kidney	ENSG00000206206
B cell	DAXX	Kidney	ENSG00000227046
B cell	DAXX	Kidney	ENSG00000206279
B cell	DAXX	Kidney	ENSG00000204209
Monocyte	NAIP	Fetal kidney	ENSG00000276068
Monocyte	NAIP	Fetal kidney	ENSG00000278613
Monocyte	NAIP	Fetal kidney	ENSG00000249437
B cell	SPINT2	Kidney	ENSG00000167642
Natural killer T (NKT) cell	RBIS	Fetal kidney	ENSG00000176731
B cell	NAP1L1	Kidney	ENSG00000187109
Natural killer T (NKT) cell	UMPS	Fetal kidney	ENSG00000114491
Natural killer T (NKT) cell	NASP	Fetal kidney	ENSG00000132780
B cell	HSH2D	Kidney	ENSG00000196684
Natural killer T (NKT) cell	KHDRBS1	Fetal kidney	ENSG00000121774
Natural killer T (NKT) cell	ATG4B	Fetal kidney	ENSG00000168397
B cell	TMEM154	Kidney	ENSG00000170006
B cell	ZBED5	Kidney	ENSG00000236287
Natural killer T (NKT) cell	ENOSF1	Fetal kidney	ENSG00000132199
Natural killer T (NKT) cell	LTV1	Fetal kidney	ENSG00000135521
Natural killer T (NKT) cell	ANXA2R	Fetal kidney	ENSG00000177721
Natural killer T (NKT) cell	PRPF38A	Fetal kidney	ENSG00000134748
Monocyte	H3-5	Fetal kidney	ENSG00000188375
Natural killer T (NKT) cell	SLAMF1	Fetal kidney	ENSG00000117090
Natural killer T (NKT) cell	ELP5	Fetal kidney	ENSG00000288485
Natural killer T (NKT) cell	ELP5	Fetal kidney	ENSG00000170291
Natural killer T (NKT) cell	CXCR6	Fetal kidney	ENSG00000172215
Natural killer T (NKT) cell	CDADC1	Fetal kidney	ENSG00000102543
Monocyte	LAMTOR4	Fetal kidney	ENSG00000188186
Natural killer T (NKT) cell	SNX17	Fetal kidney	ENSG00000115234
Monocyte	GAPT	Fetal kidney	ENSG00000175857
Natural killer T (NKT) cell	IRF1-AS1	Fetal kidney	ENSG00000197536
Natural killer T (NKT) cell	GMPS	Fetal kidney	ENSG00000163655
Natural killer T (NKT) cell	KMT2C	Fetal kidney	ENSG00000055609
Natural killer T (NKT) cell	NCL	Fetal kidney	ENSG00000115053
Natural killer T (NKT) cell	EPS15L1	Fetal kidney	ENSG00000127527
B cell	METTL17	Kidney	ENSG00000165792
Natural killer T (NKT) cell	NDUFA1	Fetal kidney	ENSG00000125356
Natural killer T (NKT) cell	TMEM248	Fetal kidney	ENSG00000106609
Natural killer T (NKT) cell	CAMLG	Fetal kidney	ENSG00000164615
Natural killer T (NKT) cell	MTSS1	Fetal kidney	ENSG00000170873
Natural killer T (NKT) cell	BMS1	Fetal kidney	ENSG00000165733
B cell	CAPG	Kidney	ENSG00000042493
Natural killer T (NKT) cell	RNF115	Fetal kidney	ENSG00000265491
Natural killer T (NKT) cell	NDUFA4	Fetal kidney	ENSG00000189043
Natural killer T (NKT) cell	B3GNT2	Fetal kidney	ENSG00000170340
Natural killer T (NKT) cell	NDUFA6	Fetal kidney	ENSG00000277365
Natural killer T (NKT) cell	NDUFA6	Fetal kidney	ENSG00000273397
Natural killer T (NKT) cell	NDUFA6	Fetal kidney	ENSG00000272765
Natural killer T (NKT) cell	NDUFA6	Fetal kidney	ENSG00000281013
Natural killer T (NKT) cell	NDUFA6	Fetal kidney	ENSG00000184983
Natural killer T (NKT) cell	TMEM126A	Fetal kidney	ENSG00000171202
B cell	GNB5	Kidney	ENSG00000069966
Natural killer T (NKT) cell	USP1	Fetal kidney	ENSG00000162607
Natural killer T (NKT) cell	FAM169A	Fetal kidney	ENSG00000198780
Natural killer T (NKT) cell	CCDC107	Fetal kidney	ENSG00000159884
Natural killer T (NKT) cell	CAPZA1	Fetal kidney	ENSG00000116489
Natural killer T (NKT) cell	FAM102A	Fetal kidney	ENSG00000167106
Natural killer T (NKT) cell	NDUFA10	Fetal kidney	ENSG00000130414
Natural killer T (NKT) cell	ATR	Fetal kidney	ENSG00000175054
Neutrophil	HCAR3	Kidney	ENSG00000255398
Nephron epithelial cell	SLC4A1	Kidney	ENSG00000004939
Natural killer T (NKT) cell	VASP	Fetal kidney	ENSG00000125753
Natural killer T (NKT) cell	NUP210	Fetal kidney	ENSG00000132182
Natural killer T (NKT) cell	DENND1C	Fetal kidney	ENSG00000205744
Natural killer T (NKT) cell	LARP7	Fetal kidney	ENSG00000174720
Natural killer T (NKT) cell	ITGAM	Fetal kidney	ENSG00000169896
Natural killer T (NKT) cell	SLC5A5	Fetal kidney	ENSG00000105641
Mast cell	TSC22D1	Kidney	ENSG00000102804
Natural killer T (NKT) cell	DDX6	Fetal kidney	ENSG00000110367
Natural killer T (NKT) cell	VBP1	Fetal kidney	ENSG00000155959
Natural killer T (NKT) cell	TMEM128	Fetal kidney	ENSG00000132406
Natural killer T (NKT) cell	SCD5	Fetal kidney	ENSG00000145284
Natural killer T (NKT) cell	DHX9	Fetal kidney	ENSG00000135829
Natural killer T (NKT) cell	NDUFB8	Fetal kidney	ENSG00000166136
Natural killer T (NKT) cell	CUTA	Fetal kidney	ENSG00000226492
Natural killer T (NKT) cell	CUTA	Fetal kidney	ENSG00000112514
Natural killer T (NKT) cell	NOP58	Fetal kidney	ENSG00000055044
Natural killer T (NKT) cell	NDUFC2	Fetal kidney	ENSG00000151366
B cell	SCPEP1	Kidney	ENSG00000121064
Natural killer T (NKT) cell	COL27A1	Fetal kidney	ENSG00000196739
Natural killer T (NKT) cell	POMGNT1	Fetal kidney	ENSG00000085998
Natural killer T (NKT) cell	SENP2	Fetal kidney	ENSG00000163904
Monocyte	DES	Fetal kidney	ENSG00000175084
Natural killer T (NKT) cell	ZNF350	Fetal kidney	ENSG00000256683
Natural killer T (NKT) cell	PSMB1	Fetal kidney	ENSG00000281184
Natural killer T (NKT) cell	PSMB1	Fetal kidney	ENSG00000008018
Natural killer T (NKT) cell	ERGIC3	Fetal kidney	ENSG00000125991
Nephron epithelial cell	SLC12A1	Kidney	ENSG00000074803
Natural killer T (NKT) cell	ITGB7	Fetal kidney	ENSG00000139626
Natural killer T (NKT) cell	TGIF2	Fetal kidney	ENSG00000118707
Monocyte	NDUFV3	Fetal kidney	ENSG00000160194
Natural killer T (NKT) cell	SZRD1	Fetal kidney	ENSG00000055070
Natural killer T (NKT) cell	SELENOF	Fetal kidney	ENSG00000183291
Natural killer T (NKT) cell	ADSS2	Fetal kidney	ENSG00000035687
Natural killer T (NKT) cell	EBLN3P	Fetal kidney	ENSG00000281649
Natural killer T (NKT) cell	LUC7L2	Fetal kidney	ENSG00000146963
Natural killer T (NKT) cell	TYSND1	Fetal kidney	ENSG00000156521
Natural killer T (NKT) cell	ITK	Fetal kidney	ENSG00000113263
Natural killer T (NKT) cell	AAMP	Fetal kidney	ENSG00000127837
Natural killer T (NKT) cell	CRYBG1	Fetal kidney	ENSG00000112297
Natural killer T (NKT) cell	DHRS7	Fetal kidney	ENSG00000100612
Natural killer T (NKT) cell	TSPOAP1-AS1	Fetal kidney	ENSG00000265148
Natural killer T (NKT) cell	MRPL48	Fetal kidney	ENSG00000175581
Natural killer T (NKT) cell	DHPS	Fetal kidney	ENSG00000095059
Monocyte	TMBIM4	Fetal kidney	ENSG00000155957
Natural killer T (NKT) cell	HYLS1	Fetal kidney	ENSG00000198331
B cell	GRAP	Kidney	ENSG00000154016
Natural killer T (NKT) cell	CCDC90B	Fetal kidney	ENSG00000137500
Monocyte	YPEL5	Fetal kidney	ENSG00000119801
Natural killer T (NKT) cell	TMEM218	Fetal kidney	ENSG00000150433
Natural killer T (NKT) cell	SAMD12	Fetal kidney	ENSG00000177570
Natural killer T (NKT) cell	AASDHPPT	Fetal kidney	ENSG00000149313
Natural killer T (NKT) cell	JAK1	Fetal kidney	ENSG00000162434
Natural killer T (NKT) cell	RRP7A	Fetal kidney	ENSG00000189306
B cell	DLAT	Kidney	ENSG00000150768
Natural killer T (NKT) cell	ATF7IP2	Fetal kidney	ENSG00000166669
Natural killer T (NKT) cell	EIF2B4	Fetal kidney	ENSG00000115211
Natural killer T (NKT) cell	NUP160	Fetal kidney	ENSG00000030066
Natural killer T (NKT) cell	CSTF2T	Fetal kidney	ENSG00000177613
Natural killer T (NKT) cell	PRPF40A	Fetal kidney	ENSG00000196504
Natural killer T (NKT) cell	GFM1	Fetal kidney	ENSG00000168827
Neutrophil	S100A11	Kidney	ENSG00000163191
Natural killer T (NKT) cell	CRY1	Fetal kidney	ENSG00000008405
Natural killer T (NKT) cell	RUNX3	Fetal kidney	ENSG00000020633
Natural killer T (NKT) cell	DENND4C	Fetal kidney	ENSG00000137145
Natural killer T (NKT) cell	BUD31	Fetal kidney	ENSG00000106245
Natural killer T (NKT) cell	CBLB	Fetal kidney	ENSG00000114423
Natural killer T (NKT) cell	MTMR2	Fetal kidney	ENSG00000087053
Natural killer T (NKT) cell	PSMD13	Fetal kidney	ENSG00000185627
Natural killer T (NKT) cell	MTCO2P12	Fetal kidney	ENSG00000229344
Natural killer T (NKT) cell	ZNF266	Fetal kidney	ENSG00000174652
B cell	CBWD5	Kidney	
Monocyte	JUND	Fetal kidney	ENSG00000130522
Monocyte	PROK2	Fetal kidney	ENSG00000163421
Natural killer T (NKT) cell	SMARCA2	Fetal kidney	ENSG00000080503
B cell	WDR4	Kidney	ENSG00000160193
Natural killer T (NKT) cell	NCAPD3	Fetal kidney	ENSG00000151503
Natural killer T (NKT) cell	RASGEF1A	Fetal kidney	ENSG00000198915
Natural killer T (NKT) cell	PTGES2	Fetal kidney	ENSG00000148334
Monocyte	DMXL2	Fetal kidney	ENSG00000104093
Natural killer T (NKT) cell	SNAP47	Fetal kidney	ENSG00000143740
Natural killer T (NKT) cell	MPHOSPH8	Fetal kidney	ENSG00000196199
Natural killer T (NKT) cell	FBXW2	Fetal kidney	ENSG00000119402
Natural killer T (NKT) cell	VAMP2	Fetal kidney	ENSG00000220205
B cell	CCR10	Kidney	ENSG00000184451
Natural killer T (NKT) cell	THOC7	Fetal kidney	ENSG00000163634
Natural killer T (NKT) cell	NOMO3	Fetal kidney	ENSG00000278087
Natural killer T (NKT) cell	NOMO3	Fetal kidney	ENSG00000103226
Natural killer T (NKT) cell	TRAPPC2L	Fetal kidney	ENSG00000167515
Natural killer T (NKT) cell	SMARCE1	Fetal kidney	ENSG00000073584
Natural killer T (NKT) cell	RPGRIP1L	Fetal kidney	ENSG00000103494
Monocyte	VPS29	Fetal kidney	ENSG00000111237
Natural killer T (NKT) cell	SPATA13	Fetal kidney	ENSG00000182957
Natural killer T (NKT) cell	SPATA13	Fetal kidney	ENSG00000228741
Monocyte	SPATA13	Fetal kidney	ENSG00000182957
Monocyte	SPATA13	Fetal kidney	ENSG00000228741
Natural killer T (NKT) cell	WIPF1	Fetal kidney	ENSG00000115935
Natural killer T (NKT) cell	UBAP2L	Fetal kidney	ENSG00000143569
B cell	CYSLTR1	Kidney	ENSG00000173198
Natural killer T (NKT) cell	MAP7D1	Fetal kidney	ENSG00000116871
Natural killer T (NKT) cell	CCND3	Fetal kidney	ENSG00000112576
Natural killer T (NKT) cell	KLHL6	Fetal kidney	ENSG00000172578
Monocyte	PIM3	Fetal kidney	ENSG00000198355
Natural killer T (NKT) cell	SUMO3	Fetal kidney	ENSG00000184900
Natural killer T (NKT) cell	BLOC1S5	Fetal kidney	ENSG00000188428
B cell	CD180	Kidney	ENSG00000134061
Natural killer T (NKT) cell	RBM19	Fetal kidney	ENSG00000122965
Natural killer T (NKT) cell	TRDC	Fetal kidney	ENSG00000211829
Natural killer T (NKT) cell	CMPK1	Fetal kidney	ENSG00000162368
Monocyte	PTGS2	Fetal kidney	ENSG00000073756
Natural killer T (NKT) cell	UTP14A	Fetal kidney	ENSG00000156697
Natural killer T (NKT) cell	SCLT1	Fetal kidney	ENSG00000151466
Natural killer T (NKT) cell	WBP11	Fetal kidney	ENSG00000084463
Natural killer T (NKT) cell	FAM114A2	Fetal kidney	ENSG00000055147
B cell	NFKBIE	Kidney	ENSG00000146232
Monocyte	GMIP	Fetal kidney	ENSG00000089639
Natural killer T (NKT) cell	NPIPB5	Fetal kidney	ENSG00000284218
Natural killer T (NKT) cell	NPIPB5	Fetal kidney	ENSG00000243716
B cell	PLEKHG7	Kidney	ENSG00000187510
Natural killer T (NKT) cell	POLR3E	Fetal kidney	ENSG00000284282
Natural killer T (NKT) cell	POLR3E	Fetal kidney	ENSG00000058600
Natural killer T (NKT) cell	CD48	Fetal kidney	ENSG00000117091
Natural killer T (NKT) cell	TRAC	Kidney	ENSG00000277734
Natural killer T (NKT) cell	DOCK2	Fetal kidney	ENSG00000134516
CD8+ T cell	TRAC	Kidney	ENSG00000277734
Natural killer T (NKT) cell	CLPX	Fetal kidney	ENSG00000166855
B cell	DPAGT1	Kidney	ENSG00000172269
Nephron epithelial cell	WT1	Kidney	ENSG00000184937
Cancer cell	WT1	Kidney	ENSG00000184937
Natural killer T (NKT) cell	N4BP2	Fetal kidney	ENSG00000078177
Natural killer T (NKT) cell	ATF7IP	Fetal kidney	ENSG00000171681
Natural killer T (NKT) cell	SMC1A	Fetal kidney	ENSG00000072501
Natural killer T (NKT) cell	CHERP	Fetal kidney	ENSG00000085872
Natural killer T (NKT) cell	CD2	Fetal kidney	ENSG00000116824
Natural killer T (NKT) cell	FNBP4	Fetal kidney	ENSG00000285182
Natural killer T (NKT) cell	FNBP4	Fetal kidney	ENSG00000109920
Natural killer T (NKT) cell	TARS2	Fetal kidney	ENSG00000143374
Natural killer T (NKT) cell	ERAP1	Fetal kidney	ENSG00000164307
Natural killer T (NKT) cell	ADA	Fetal kidney	ENSG00000196839
Natural killer T (NKT) cell	XPA	Fetal kidney	ENSG00000136936
Natural killer T (NKT) cell	SNRPF	Fetal kidney	ENSG00000139343
Regulatory T (Treg) cell	CD3D	Kidney	ENSG00000167286
