cell_name	gene_name	tissue_type	gene_id
Adipose-derived stem cell	PTPRC	Adipose tissue	ENSG00000081237
Mesenchymal stem cell		Adipose tissue	
Mesenchymal stem cell	CD34	Adipose tissue	ENSG00000174059
Mesenchymal stem cell	CD70	Adipose tissue	ENSG00000125726
Mesenchymal stem cell	THY1	Adipose tissue	ENSG00000154096
Mesenchymal progenitor cell	MCAM	Adipose tissue	ENSG00000076706
Mesenchymal stem cell	CD34	Fat pad	ENSG00000174059
Mesenchymal stem cell		Fat pad	
Mesenchymal stem cell	NCAM1	Fat pad	ENSG00000149294
Mesenchymal stem cell	CD44	Fat pad	ENSG00000026508
Mesenchymal stem cell	NGFR	Fat pad	ENSG00000064300
Mesenchymal stem cell	ITGB1	Fat pad	ENSG00000150093
Mesenchymal stem cell	ANPEP	Fat pad	ENSG00000166825
Mesenchymal stem cell	THY1	Fat pad	ENSG00000154096
Mesenchymal stem cell		Fat pad	
Endoderm progenitor cell	PECAM1	Adipose tissue	ENSG00000261371
Endoderm progenitor cell	CD34	Adipose tissue	ENSG00000174059
Endoderm progenitor cell	PROM1	Adipose tissue	ENSG00000007062
Adipose-derived stem cell	POU5F1	Adipose tissue	ENSG00000206454
Adipose-derived stem cell	POU5F1	Adipose tissue	ENSG00000237582
Adipose-derived stem cell	POU5F1	Adipose tissue	ENSG00000229094
Adipose-derived stem cell	POU5F1	Adipose tissue	ENSG00000230336
Adipose-derived stem cell	POU5F1	Adipose tissue	ENSG00000235068
Adipose-derived stem cell	POU5F1	Adipose tissue	ENSG00000233911
Adipose-derived stem cell	POU5F1	Adipose tissue	ENSG00000204531
Adipose-derived stromal cell	KLF4	Adipose tissue	ENSG00000136826
Neuron	MAP2	Adipose tissue	ENSG00000078018
Neuron		Adipose tissue	
Adipose-derived stem cell	KLF4	Adipose tissue	ENSG00000136826
Adipose-derived stem cell	MYC	Adipose tissue	ENSG00000136997
Adipose-derived stromal cell	ITGB1	Adipose tissue	ENSG00000150093
Neuron		Adipose tissue	
Adipose-derived stromal cell	POU5F1	Adipose tissue	ENSG00000206454
Adipose-derived stromal cell	POU5F1	Adipose tissue	ENSG00000237582
Adipose-derived stromal cell	POU5F1	Adipose tissue	ENSG00000229094
Adipose-derived stromal cell	POU5F1	Adipose tissue	ENSG00000230336
Adipose-derived stromal cell	POU5F1	Adipose tissue	ENSG00000235068
Adipose-derived stromal cell	POU5F1	Adipose tissue	ENSG00000233911
Adipose-derived stromal cell	POU5F1	Adipose tissue	ENSG00000204531
Neuron		Adipose tissue	
Adipose-derived stem cell	ITGB1	Adipose tissue	ENSG00000150093
Adipose-derived stromal cell	NANOG	Adipose tissue	ENSG00000111704
Adipose-derived stromal cell	MYC	Adipose tissue	ENSG00000136997
Adipose-derived stromal cell	CD44	Adipose tissue	ENSG00000026508
Adipose-derived stem cell		Adipose tissue	
Adipose-derived stem cell	NANOG	Adipose tissue	ENSG00000111704
Adipose-derived stromal cell	SOX2	Adipose tissue	ENSG00000181449
Adipose-derived stem cell	CD44	Adipose tissue	ENSG00000026508
Adipose-derived stem cell	SOX2	Adipose tissue	ENSG00000181449
Adipose-derived stromal cell		Adipose tissue	
Adipose multilineage-differentiating stress-enduring cell		Adipose tissue	
Adipose multilineage-differentiating stress-enduring cell		Adipose tissue	
Adipose multilineage-differentiating stress-enduring cell	THY1	Adipose tissue	ENSG00000154096
Mesenchymal stem cell	CD34	Adipose tissue	ENSG00000174059
Mesenchymal stem cell	CD44	Adipose tissue	ENSG00000026508
Mesenchymal stem cell		Adipose tissue	
Mesenchymal stem cell	PTPRC	Adipose tissue	ENSG00000262418
Mesenchymal stem cell	PTPRC	Adipose tissue	ENSG00000081237
Adipose-derived stromal cell	F3	Visceral adipose tissue	ENSG00000117525
Adipose-derived stem cell	CD200	Visceral adipose tissue	ENSG00000091972
Adipose-derived stromal cell	CD200	Visceral adipose tissue	ENSG00000091972
Adipose-derived stem cell	THBD	Subcutaneous adipose tissue	ENSG00000178726
Adipose-derived stromal cell	MME	Subcutaneous adipose tissue	ENSG00000196549
Adipose-derived stromal cell	THBD	Subcutaneous adipose tissue	ENSG00000178726
Adipose-derived stem cell	MME	Subcutaneous adipose tissue	ENSG00000196549
Adipose-derived stem cell	F3	Visceral adipose tissue	ENSG00000117525
Mesenchymal stem cell	CD44	Adipose tissue	ENSG00000026508
Mesenchymal stem cell	NT5E	Adipose tissue	ENSG00000135318
Mesenchymal stem cell	THY1	Adipose tissue	ENSG00000154096
Adipose-derived stromal cell	PECAM1	Adipose tissue	ENSG00000261371
Adipose-derived stem cell	PECAM1	Adipose tissue	ENSG00000261371
Adipose-derived stromal cell	NT5E	Adipose tissue	ENSG00000135318
Adipose-derived stromal cell		Adipose tissue	
Adipose-derived stromal cell	PTPRC	Adipose tissue	ENSG00000262418
Adipose-derived stromal cell	PTPRC	Adipose tissue	ENSG00000081237
Adipose-derived stromal cell	VCAM1	Adipose tissue	ENSG00000162692
Adipose-derived stromal cell	CD34	Adipose tissue	ENSG00000174059
Adipose-derived stromal cell	CD44	Adipose tissue	ENSG00000026508
Adipose-derived stromal cell	THY1	Adipose tissue	ENSG00000154096
Adipose-derived stem cell		Adipose tissue	
Adipose-derived stem cell		Adipose tissue	
Mesenchymal stem cell	PTPRC	Adipose tissue	ENSG00000262418
Mesenchymal stem cell	PTPRC	Adipose tissue	ENSG00000081237
Mesenchymal stem cell	NT5E	Adipose tissue	ENSG00000135318
Mesenchymal stem cell	CD34	Adipose tissue	ENSG00000174059
Mesenchymal stem cell	PECAM1	Adipose tissue	ENSG00000261371
Mesenchymal stem cell		Adipose tissue	
Mesenchymal stem cell	CD44	Adipose tissue	ENSG00000026508
Mesenchymal stem cell	THY1	Adipose tissue	ENSG00000154096
Endothelial cell	PECAM1	Adipose tissue	ENSG00000261371
Endothelial cell	VWF	Adipose tissue	ENSG00000110799
Natural killer cell	FCGR3A	Adipose tissue	ENSG00000203747
Natural killer cell		Adipose tissue	
Natural killer cell	KLRK1	Adipose tissue	ENSG00000213809
Natural killer cell	KLRD1	Adipose tissue	ENSG00000134539
Natural killer cell	FASLG	Adipose tissue	ENSG00000117560
Natural killer cell	NCAM1	Adipose tissue	ENSG00000149294
Natural killer cell	NCR1	Adipose tissue	ENSG00000277334
Natural killer cell	NCR1	Adipose tissue	ENSG00000275521
Natural killer cell	NCR1	Adipose tissue	ENSG00000276450
Natural killer cell	NCR1	Adipose tissue	ENSG00000278025
Natural killer cell	NCR1	Adipose tissue	ENSG00000277442
Natural killer cell	NCR1	Adipose tissue	ENSG00000275637
Natural killer cell	NCR1	Adipose tissue	ENSG00000278362
Natural killer cell	NCR1	Adipose tissue	ENSG00000275156
Natural killer cell	NCR1	Adipose tissue	ENSG00000273535
Natural killer cell	NCR1	Adipose tissue	ENSG00000189430
Brown adipogenic precursor cell	EBF2	Adipose tissue	ENSG00000221818
Beige adipogenic precursor cell	EBF2	Adipose tissue	ENSG00000221818
Adipose-derived stem cell	PTPRC	Adipose tissue	ENSG00000262418
Adipose-derived stem cell	PTPRC	Adipose tissue	ENSG00000081237
Smooth muscle cell	PECAM1	Adipose tissue	ENSG00000261371
Adipose-derived stem cell	PECAM1	Adipose tissue	ENSG00000261371
Preadipocyte	PECAM1	Adipose tissue	ENSG00000261371
Preadipocyte	CD36	Adipose tissue	ENSG00000135218
Endothelial cell	PECAM1	Adipose tissue	ENSG00000261371
Smooth muscle cell	MCAM	Adipose tissue	ENSG00000076706
Endothelial cell	CD34	Adipose tissue	ENSG00000174059
Adipose-derived stem cell	CD34	Adipose tissue	ENSG00000174059
Multipotent mesenchymal stroma cell	THY1	Adipose tissue	ENSG00000154096
Multipotent mesenchymal stroma cell	NT5E	Adipose tissue	ENSG00000135318
Multipotent mesenchymal stroma cell	PTPRC	Adipose tissue	ENSG00000262418
Multipotent mesenchymal stroma cell	PTPRC	Adipose tissue	ENSG00000081237
Multipotent mesenchymal stroma cell	CD34	Adipose tissue	ENSG00000174059
Multipotent mesenchymal stroma cell		Adipose tissue	
Adipose-derived stem cell	THY1	Abdominal adipose tissue	ENSG00000154096
Adipose-derived stem cell		Abdominal adipose tissue	
Adipose-derived stem cell		Abdominal adipose tissue	
Adipose-derived stem cell	PECAM1	Abdominal adipose tissue	ENSG00000261371
Adipose-derived stem cell	CD34	Abdominal adipose tissue	ENSG00000174059
Adipose-derived stem cell	CD44	Abdominal adipose tissue	ENSG00000026508
Adipose-derived stem cell	ITGB1	Abdominal adipose tissue	ENSG00000150093
Adipose-derived stem cell	NT5E	Abdominal adipose tissue	ENSG00000135318
Adipose-derived stromal cell	TFRC	Adipose tissue	ENSG00000072274
Adipose-derived stromal cell		Adipose tissue	
Adipose-derived stromal cell	ALCAM	Adipose tissue	ENSG00000170017
Adipose-derived stromal cell	THY1	Adipose tissue	ENSG00000154096
Adipose-derived stromal cell	NT5E	Adipose tissue	ENSG00000135318
Adipose-derived stromal cell	CD44	Adipose tissue	ENSG00000026508
Adipose-derived stromal cell	MME	Adipose tissue	ENSG00000196549
Adipose-derived stromal cell	ANPEP	Adipose tissue	ENSG00000166825
Adipose-derived stromal cell	ITGB1	Adipose tissue	ENSG00000150093
Adipose progenitor cell	ITGB1	Adipose tissue	ENSG00000150093
Mesenchymal stromal cell	NGFR	Adipose tissue	ENSG00000064300
Mesenchymal stromal cell	SUSD2	Adipose tissue	ENSG00000099994
Mesenchymal stromal cell		Adipose tissue	
Mesenchymal stromal cell	CD34	Adipose tissue	ENSG00000174059
Mesenchymal stromal cell	CD44	Adipose tissue	ENSG00000026508
Adipose-derived stem cell	CD55	Adipose tissue	ENSG00000196352
Adipose-derived stem cell	CD9	Adipose tissue	ENSG00000010278
Adipose-derived stem cell		Adipose tissue	
Adipose-derived stem cell		Adipose tissue	
Adipose-derived stem cell		Adipose tissue	
Adipose-derived stem cell	MME	Adipose tissue	ENSG00000196549
Adipose-derived stem cell	CD59	Adipose tissue	ENSG00000085063
Adipose-derived stem cell	CDH5	Adipose tissue	ENSG00000179776
Adipose-derived stem cell	CD44	Adipose tissue	ENSG00000026508
Adipose-derived stem cell	ICAM1	Adipose tissue	ENSG00000090339
Adipose-derived stem cell	CD34	Adipose tissue	ENSG00000174059
Adipose-derived stem cell	TFRC	Adipose tissue	ENSG00000072274
Stem cell	CD34	Adipose tissue	ENSG00000174059
Stromal cell		Adipose tissue	
Stromal cell	NT5E	Adipose tissue	ENSG00000135318
Stromal cell	CD44	Adipose tissue	ENSG00000026508
Stromal cell	THY1	Adipose tissue	ENSG00000154096
Endothelial cell	ECSCR	White adipose tissue	ENSG00000288297
Endothelial cell	ECSCR	White adipose tissue	ENSG00000249751
Megakaryocyte progenitor cell	TFRC	Subcutaneous adipose tissue	ENSG00000072274
Mesenchymal stromal cell		Adipose tissue	
Mesenchymal stromal cell	NT5E	Adipose tissue	ENSG00000135318
Mesenchymal stromal cell	THY1	Adipose tissue	ENSG00000154096
Mesenchymal stromal cell	CD44	Adipose tissue	ENSG00000026508
Pericyte	CSPG4	Adipose tissue	ENSG00000173546
Pericyte	MCAM	Adipose tissue	ENSG00000076706
Stem cell	PECAM1	Adipose tissue	ENSG00000261371
Stem cell	NT5E	Adipose tissue	ENSG00000135318
Stem cell		Adipose tissue	
Stem cell	CD34	Adipose tissue	ENSG00000174059
Stem cell	PTPRC	Adipose tissue	ENSG00000262418
Stem cell	PTPRC	Adipose tissue	ENSG00000081237
Stem cell	THY1	Adipose tissue	ENSG00000154096
Mesenchymal stem cell	THY1	Adipose tissue	ENSG00000154096
Mesenchymal stem cell	ITGB1	Adipose tissue	ENSG00000150093
Mesenchymal stem cell	CD44	Adipose tissue	ENSG00000026508
Stem cell	THY1	Adipose tissue	ENSG00000154096
Stem cell	ITGB1	Adipose tissue	ENSG00000150093
Stem cell	NT5E	Adipose tissue	ENSG00000135318
Stem cell		Adipose tissue	
Stem cell	CD34	Adipose tissue	ENSG00000174059
Mesenchymal stem cell		Adipose tissue	
Mesenchymal stem cell	ITGB1	Adipose tissue	ENSG00000150093
Mesenchymal stem cell	PTPRC	Adipose tissue	ENSG00000262418
Mesenchymal stem cell	PTPRC	Adipose tissue	ENSG00000081237
Mesenchymal stem cell	NT5E	Adipose tissue	ENSG00000135318
Mesenchymal stem cell	THY1	Adipose tissue	ENSG00000154096
Mesenchymal stem cell	CD14	Adipose tissue	ENSG00000170458
Mesenchymal stem cell	CD44	Adipose tissue	ENSG00000026508
Mesenchymal stem cell	CD34	Adipose tissue	ENSG00000174059
Pericyte	CSPG4	Adipose tissue	ENSG00000173546
Pericyte	MCAM	Adipose tissue	ENSG00000076706
Mesenchymal stem cell		Brown adipose tissue	
Mesenchymal stem cell	UCP1	Brown adipose tissue	ENSG00000109424
Mesenchymal stem cell		White adipose tissue	
Mesenchymal stem cell	NANOG	Adipose tissue	ENSG00000111704
Mesenchymal stem cell	SOX2	Adipose tissue	ENSG00000181449
Adipose-derived stem cell	THY1	Subcutaneous adipose tissue	ENSG00000154096
Adipose-derived stem cell	POU5F1	Subcutaneous adipose tissue	ENSG00000206454
Adipose-derived stem cell	POU5F1	Subcutaneous adipose tissue	ENSG00000237582
Adipose-derived stem cell	POU5F1	Subcutaneous adipose tissue	ENSG00000229094
